,CODE_GENDER,EXT_SOURCE_3,EMERGENCYSTATE_MODE,OCCUPATION_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,WALLSMATERIAL_MODE,REGION_RATING_CLIENT,TARGET
0,M,0.1393757800997895,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,1
13,M,0.7700870700124128,No,Drivers,Working,Secondary / secondary special,Panel,2.0,0
18,F,0.5567274263630174,No,Laborers,Working,Secondary / secondary special,"Stone, brick",1.0,0
22,F,0.3589512285783967,No,Sales staff,Working,Secondary / secondary special,Panel,3.0,0
24,M,0.5656079814115492,No,Drivers,Working,Secondary / secondary special,Panel,2.0,0
25,F,0.4614823912998385,No,Cleaning staff,Working,Secondary / secondary special,"Stone, brick",2.0,0
35,F,0.6785676886853644,No,Sales staff,Working,Higher education,"Stone, brick",2.0,0
39,M,0.6058362647264226,No,Managers,Working,Higher education,"Stone, brick",2.0,0
40,M,0.3201633668633456,No,Laborers,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,1
55,F,0.0701088438273582,No,Managers,Working,Higher education,"Stone, brick",2.0,0
57,M,0.5136937663039473,No,Security staff,Working,Secondary / secondary special,Panel,2.0,0
59,M,0.3392876999089139,No,Managers,Working,Higher education,"Stone, brick",1.0,0
60,F,0.6971469077844458,No,Accountants,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
61,M,0.434733248750173,No,Sales staff,Working,Incomplete higher,Panel,2.0,0
65,M,0.5620604831738043,No,Core staff,Commercial associate,Secondary / secondary special,Panel,1.0,0
68,F,0.8327850252992314,No,Sales staff,Commercial associate,Secondary / secondary special,Panel,2.0,0
70,M,0.3944954053123993,No,Laborers,Commercial associate,Higher education,Panel,2.0,0
71,M,0.5971924268337128,No,Laborers,Working,Secondary / secondary special,"Stone, brick",2.0,0
77,M,0.5352762504724826,No,Laborers,Working,Secondary / secondary special,Panel,2.0,0
87,F,0.4776491548517548,No,Laborers,Working,Secondary / secondary special,Others,2.0,0
93,F,0.228883416700673,No,Sales staff,Commercial associate,Secondary / secondary special,"Stone, brick",2.0,0
98,F,0.0710551246687366,No,Core staff,Working,Higher education,"Stone, brick",2.0,0
